model,name_dist,algo,time,epc
BA,uniform,Degree-based,0.0013969999999972,75.6063
BA,uniform,Betweenness,0.019711300000381,85.8177
BA,uniform,PageRank,0.0035776000004261,73.5399
BA,uniform,Greedy_ES,13.664252800000211,61.30619812011719
BA,uniform,Greedy_MIS,239.34978070000037,64.79955
BA,uniform,REGA,553.4320344999996,62.47485
BA,normal,Degree-based,0.0008985000004031,85.6053
BA,normal,Betweenness,0.0169263999996474,87.46965
BA,normal,PageRank,0.0030449000005319,71.44065
BA,normal,Greedy_ES,9.604622099999688,71.70704650878906
BA,normal,Greedy_MIS,245.2796494000013,83.43405
BA,normal,REGA,588.5420914000006,72.3528
BA,beta,Degree-based,0.0009758999985933,35.54325
BA,beta,Betweenness,0.017225600000529,33.37875
BA,beta,PageRank,0.0029489000007743,28.52505
BA,beta,Greedy_ES,3.359038900000087,28.19205093383789
BA,beta,Greedy_MIS,229.01618509999932,30.50235
BA,beta,REGA,217.72411020000072,28.84095
ER,uniform,Degree-based,0.0013069000001451,865.116
ER,uniform,Betweenness,0.0189926999998988,755.42265
ER,uniform,PageRank,0.003686000000016,828.2997
ER,uniform,Greedy_ES,20.643235499999943,567.7119140625
ER,uniform,Greedy_MIS,655.9691663000001,491.89815
ER,uniform,REGA,1559.951079,484.1883
ER,normal,Degree-based,0.0013439999997899,1262.0799
ER,normal,Betweenness,0.0190274000001409,1204.2486
ER,normal,PageRank,0.0054479999998875,1251.98685
ER,normal,Greedy_ES,13.502066199999716,1162.4481201171875
ER,normal,Greedy_MIS,1000.1836373,1425.72915
ER,normal,REGA,2158.0382576,1083.48975
ER,beta,Degree-based,0.0101136000002952,101.6982
ER,beta,Betweenness,0.0178390999999464,102.5109
ER,beta,PageRank,0.0047190999994199,97.416
ER,beta,Greedy_ES,2.555501199999526,87.8062515258789
ER,beta,Greedy_MIS,353.0408610000004,92.11815
ER,beta,REGA,185.43998020000072,91.1088
SW,uniform,Degree-based,0.0009305000003223,865.9548
SW,uniform,Betweenness,0.017839999998614,1385.00505
SW,uniform,PageRank,0.002643400001034,869.31045
SW,uniform,Greedy_ES,10.88684699999976,501.1771545410156
SW,uniform,Greedy_MIS,588.3326284000013,545.9697
SW,uniform,REGA,588.5201281999998,435.28005
SW,normal,Degree-based,0.0009181999994325,1089.6219
SW,normal,Betweenness,0.0174437000005127,1017.6525
SW,normal,PageRank,0.0033456999990448,1087.16265
SW,normal,Greedy_ES,12.05903279999984,614.2742919921875
SW,normal,Greedy_MIS,809.4341956999997,749.1483
SW,normal,REGA,777.1261782000001,653.4747
SW,beta,Degree-based,0.0011601999995036,108.3132
SW,beta,Betweenness,0.0190400000010413,105.15195
SW,beta,PageRank,0.0032969000003504,108.01125
SW,beta,Greedy_ES,4.031471399999646,81.2853012084961
SW,beta,Greedy_MIS,504.0599985000008,87.5709
SW,beta,REGA,131.5304417000007,90.6426
