model,p,algo,time,epc
BA,0.0,Degree-based,0.0011859540027217008,0.0
BA,0.0,Betweenness,0.005929541999648791,0.0
BA,0.0,PageRank,0.002487673998984974,0.0
BA,0.0,REGA,5.932496607998473,0.0
BA,0.2,Degree-based,0.001177646998257842,850.2579
BA,0.2,Betweenness,0.005897123999602627,850.9248
BA,0.2,PageRank,0.00226578799993149,849.32235
BA,0.2,REGA,884.4826187660001,849.7188
BA,0.4,Degree-based,0.0011253749980824068,968.823675
BA,0.4,Betweenness,0.005823731000418775,969.03675
BA,0.4,PageRank,0.002099156001349911,968.897475
BA,0.4,REGA,1047.1359747829993,963.92025
BA,0.6000000000000001,Degree-based,0.001206651002576109,986.71365
BA,0.6000000000000001,Betweenness,0.006171904999064282,986.848425
BA,0.6000000000000001,PageRank,0.002118797001458006,986.8941
BA,0.6000000000000001,REGA,335.52699128199674,989.054775
BA,0.8,Degree-based,0.0011365919999661855,989.8452
BA,0.8,Betweenness,0.005796412002382567,989.865
BA,0.8,PageRank,0.0021146009967196733,989.890425
BA,0.8,REGA,286.9840687830001,989.671725
BA,1.0,Degree-based,0.0011737360000552144,990.0
BA,1.0,Betweenness,0.006222220999916317,990.0
BA,1.0,PageRank,0.0022431280012824573,990.0
BA,1.0,REGA,218.44362775099944,990.0
